index-entry-number,entry-number,entry-timestamp,key,"information-sharing-agreement-specified-person-0001",name,relevant-powers,start-date,end-date
33,33,2018-11-01T16:37:01Z,33,33,"The Natural Environment Research Council","information-sharing-agreement-powers-and-objectives-0001:7",,
32,32,2018-11-01T16:37:01Z,32,32,"The Medical Research Council","information-sharing-agreement-powers-and-objectives-0001:7",,
31,31,2018-11-01T16:37:01Z,31,31,"The Arts and Humanities Research Council","information-sharing-agreement-powers-and-objectives-0001:7",,
30,30,2018-11-01T16:37:01Z,30,30,"The Technology Strategy Board","information-sharing-agreement-powers-and-objectives-0001:7",,
29,29,2018-11-01T16:37:01Z,29,29,"The English Sports Council","information-sharing-agreement-powers-and-objectives-0001:7",,
28,28,2018-11-01T16:37:01Z,28,28,"The Big Lottery Fund","information-sharing-agreement-powers-and-objectives-0001:7",,
27,27,2018-11-01T16:37:01Z,27,27,"The Arts Council of England","information-sharing-agreement-powers-and-objectives-0001:7",,
26,26,2018-11-01T16:37:01Z,26,26,"The British Council","information-sharing-agreement-powers-and-objectives-0001:7",,
25,25,2018-11-01T16:37:01Z,25,25,"The Historic Buildings and Monuments Commission for England","information-sharing-agreement-powers-and-objectives-0001:7",,
24,24,2018-11-01T16:37:01Z,24,24,"The Gas and Electricity Markets Authority","information-sharing-agreement-powers-and-objectives-0001:2",,
23,23,2018-11-01T16:37:01Z,23,23,"The Homes and Communities Agency","information-sharing-agreement-powers-and-objectives-0001:7",,
22,22,2018-11-01T16:37:01Z,22,22,"The Environment Agency","information-sharing-agreement-powers-and-objectives-0001:7",,
21,21,2018-11-01T16:37:01Z,21,21,"The Nuclear Decommissioning Authority","information-sharing-agreement-powers-and-objectives-0001:7",,
20,20,2018-11-01T16:37:01Z,20,20,"The Registrar General","information-sharing-agreement-powers-and-objectives-0001:5",,
19,19,2018-11-01T16:37:01Z,19,19,"The Chief Land Registrar","information-sharing-agreement-powers-and-objectives-0001:2;information-sharing-agreement-powers-and-objectives-0001:3;information-sharing-agreement-powers-and-objectives-0001:7",,
17,17,2018-11-01T16:37:01Z,17,17,"A Department of the Government of the United Kingdom","information-sharing-agreement-powers-and-objectives-0001:5",,
16,16,2018-11-01T16:37:01Z,16,16,"The Export Credits Guarantee Department","information-sharing-agreement-powers-and-objectives-0001:7",,
15,15,2018-11-01T16:37:01Z,15,15,"HM Revenue and Customs","information-sharing-agreement-powers-and-objectives-0001:1;information-sharing-agreement-powers-and-objectives-0001:2;information-sharing-agreement-powers-and-objectives-0001:3;information-sharing-agreement-powers-and-objectives-0001:6;information-sharing-agreement-powers-and-objectives-0001:7",,
14,14,2018-11-01T16:37:01Z,14,14,"A Minister of the Crown","information-sharing-agreement-powers-and-objectives-0001:5",,
13,13,2018-11-01T16:37:01Z,13,13,"Minister for the Cabinet Office","information-sharing-agreement-powers-and-objectives-0001:6;information-sharing-agreement-powers-and-objectives-0001:7",,
12,12,2018-11-01T16:37:01Z,12,12,"Secretary of State for International Development","information-sharing-agreement-powers-and-objectives-0001:7",,
11,11,2018-11-01T16:37:01Z,11,11,"Secretary of State for the Environment, Food and Rural Affairs","information-sharing-agreement-powers-and-objectives-0001:7",,
10,10,2018-11-01T16:37:01Z,10,10,"Secretary of State for Transport","information-sharing-agreement-powers-and-objectives-0001:6;information-sharing-agreement-powers-and-objectives-0001:7",,
9,9,2018-11-01T16:37:01Z,9,9,"Secretary of State for Culture, Media and Sport","information-sharing-agreement-powers-and-objectives-0001:7",,
8,8,2018-11-01T16:37:01Z,8,8,"Secretary of State for Housing, Communities and Local Government","information-sharing-agreement-powers-and-objectives-0001:1;information-sharing-agreement-powers-and-objectives-0001:2;information-sharing-agreement-powers-and-objectives-0001:3;information-sharing-agreement-powers-and-objectives-0001:7",,
7,7,2018-11-01T16:37:01Z,7,7,"Secretary of State for Work and Pensions","information-sharing-agreement-powers-and-objectives-0001:1;information-sharing-agreement-powers-and-objectives-0001:4;information-sharing-agreement-powers-and-objectives-0001:2;information-sharing-agreement-powers-and-objectives-0001:3;information-sharing-agreement-powers-and-objectives-0001:6;information-sharing-agreement-powers-and-objectives-0001:7",,
6,6,2018-11-01T16:37:01Z,6,6,"Secretary of State for Business, Energy, and Industrial Strategy","information-sharing-agreement-powers-and-objectives-0001:2;information-sharing-agreement-powers-and-objectives-0001:6;information-sharing-agreement-powers-and-objectives-0001:7",,
5,5,2018-11-01T16:37:01Z,5,5,"Secretary of State for Education","information-sharing-agreement-powers-and-objectives-0001:1;information-sharing-agreement-powers-and-objectives-0001:6;information-sharing-agreement-powers-and-objectives-0001:7",,
4,4,2018-11-01T16:37:01Z,4,4,"Secretary of State for Justice","information-sharing-agreement-powers-and-objectives-0001:1;information-sharing-agreement-powers-and-objectives-0001:6;information-sharing-agreement-powers-and-objectives-0001:7",,
3,3,2018-11-01T16:37:01Z,3,3,"The Lord Chancellor","information-sharing-agreement-powers-and-objectives-0001:1;information-sharing-agreement-powers-and-objectives-0001:6;information-sharing-agreement-powers-and-objectives-0001:7",,
2,2,2018-11-01T16:37:01Z,2,2,"Secretary of State for Defence","information-sharing-agreement-powers-and-objectives-0001:1;information-sharing-agreement-powers-and-objectives-0001:4;information-sharing-agreement-powers-and-objectives-0001:7",,
1,1,2018-11-01T16:37:01Z,1,1,"Secretary of State for the Home Department","information-sharing-agreement-powers-and-objectives-0001:1;information-sharing-agreement-powers-and-objectives-0001:6;information-sharing-agreement-powers-and-objectives-0001:7",,
